---logs---:
0:21 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !say test
0:22 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !serwer
0:22 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !say test
0:23 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !serwer
9:45 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !advancement
9:45 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !advancement grant
9:52 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !reload advancement
9:52 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !advancement
9:52 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !advancement grant
9:53 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !reload advancement
9:53 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !advancement grant
9:56 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !advancement grant
12:12 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !advancement grant
12:56 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !setblock stone 0 0 0
12:57 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !setblock 0 0 0 stone
13:04 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !setblock
13:04 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !setblock 0 0 0 stone
13:04 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !reload setblock
13:04 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !setblock 0 0 0 stone
13:05 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !serwer
13:07 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !reload serwer
13:07 [811405315417309205] 𝓟𝓸𝓵𝓲𝓼𝓱𝓚𝓮𝓫𝓪𝓫| a.k.a Kebab#9611: !serwer
